"State","Projected_Median_Income_2025"
"Massachusetts",108235.00873218
"New Jersey",107053.20292084
"Maryland",104951.91664982
"New Hampshire",105123.03416118
"California",104770.99477809
"Hawaii",101973.23457978
"Washington",104182.8442578
"Utah",102154.78822429
"Colorado",101810.96698864
"Connecticut",97568.67424185
"Virginia",96671.70975744
"Alaska",91699.06596521
"Minnesota",91023.00242814
"Rhode Island",92401.25830848
"Delaware",88145.95354126
"New York",88197.30606375
"Vermont",88582.63291696
"Illinois",86258.67903776
"Oregon",88006.4487744
"Arizona",84866.76504635
"North Dakota",81532.554181
"Nevada",82706.52580236
"Texas",81806.10138
"Idaho",82340.51705208
"Georgia",81578.018898
"Wisconsin",80395.23051471
"Nebraska",80351.0638219
"Pennsylvania",79189.12154976
"Maine",80687.88070893
"Florida",80456.31233136
"Wyoming",75503.15288215
"South Dakota",77535.3258461
"Iowa",76048.37470692
"Montana",76861.67941044
"North Carolina",77216.18654196
"Kansas",75007.98457357
"Indiana",74958.57480813
"Michigan",74339.87037948
"Missouri",73938.8033082
"South Carolina",73873.70830576
"Ohio",72581.81951969
"Tennessee",73600.53407744
"New Mexico",66780.39757248
"Alabama",67029.946128
"Oklahoma",66075.89881472
"Kentucky",65445.82914272
"Arkansas",63221.592908
"Louisiana",61535.475536
"West Virginia",59459.00610988
"Mississippi",58209.56055107
